id;bid_start_time;bid_end_time;amount;ccy
1;2022-07-02T15:01:54;2022-07-02T08:16:59;65241;Communications Business-focused
2;2022-07-02T05:53:47;2022-07-01T21:13:56;44976;Account
3;2022-07-02T17:03:48;2022-07-02T01:32:40;49651;Spurs Toys
4;2022-07-02T19:27:48;2022-07-02T03:02:13;13587;zero Ruble
5;2022-07-01T22:43:16;2022-07-02T05:33:15;66346;connecting Fish input
6;2022-07-02T05:13:52;2022-07-02T05:17:59;64082;Connecticut
7;2022-07-02T07:07:40;2022-07-02T14:59:28;39884;indigo real-time Branding
8;2022-07-02T18:32:48;2022-07-02T01:54:39;67752;Australian Unbranded Berkshire
9;2022-07-02T06:50:26;2022-07-02T10:59:17;99143;Borders Dynamic New
10;2022-07-01T22:34:50;2022-07-02T14:05:42;62635;SMS generation Greens
