id;productname;product_specification;actual_cost;ccy;creation_date
1;Steel;Assistant;57374;monetize Consultant wireless;2022-07-02T15:59:10
2;reboot;deposit Track actuating;64964;Division;2022-07-02T16:44:33
3;Card;navigating Michigan;32061;Korea transmitting New;2022-07-02T08:06:07
4;Generic;Lao;29161;Small digital Oklahoma;2022-07-02T10:52:09
5;throughput;Data distributed;20505;Sports COM Implementation;2022-07-02T18:39:30
6;Shirt Ethiopia;Crossroad CSS;15521;Keyboard;2022-07-01T22:33:28
7;Ball pixel;Account;68319;cross-platform;2022-07-02T01:10:46
8;online virtual;hacking;36445;Sleek metrics;2022-07-01T20:57:14
9;Data;sticky Harbors Automotive;41021;Ergonomic Ergonomic;2022-07-02T18:29:45
10;deposit;Cambridgeshire Chair;31837;Operations Chicken;2022-07-02T05:04:03
